h 
 5
k 
 2

M_data 
 1 4 0 0.67
1 5 0 2.00
2 3 0 -1.33
2 4 0 0.22
2 5 0 -0.67
3 2 0 1.33
3 3 0 4.00
3 3 1 1.00
3 4 0 2.00
3 4 1 2.00
3 4 2 -2.00
3 5 0 1.00
3 5 1 -5.00
3 5 2 2.00
4 1 0 -0.67
4 2 0 -0.22
4 3 0 2.00
4 3 1 2.00
4 3 2 -2.00
4 4 0 3.00
4 4 1 2.00
4 4 2 1.00
4 5 0 3.00
4 5 1 -5.00
4 5 2 -3.00
5 1 0 -2.00
5 2 0 0.67
5 3 0 1.00
5 3 1 -5.00
5 3 2 2.00
5 4 0 3.00
5 4 1 -5.00
5 4 2 -3.00
5 5 0 4.00
5 5 1 4.00
5 5 2 -1.00


q_data 
 1 0 0.67
2 0 0.22
3 0 1.00
3 1 1.00
4 0 -1.00
4 1 1.00
5 1 -1.00


Param_Space 
 1 1 -1
2 2 -1
3 1 1
3 2 1


Param_Space_RHS 
 0
0
1


END
