h 
4

k
2

M_data
1,3,0,-2
             1,4,0,-1
             2,3,0,-5
             2,4,0,7
             2,4,1,1
             3,1,0,1
             3,2,0,3
             4,1,0,1
             4,2,0,-5
             4,2,1,-1

q_data
1,0,-1
          1,2,-1
          2,0,-1
          2,2,-1
          2,1,1
          3,0,-34
          3,2,-18
          4,0,-17
          4,2,-9

Param_Space
1,1,-1
           2,2,-1
           3,1,1
           4,2,1

Param_Space_RHS 
3
               3
               1
               1

END
